Identifiant station;Nom de la Station;Nom de la ligne;Incertitude;Recommandation de surveillance;Action(s) QAI en cours;Lien vers les mesures en direct;Durée des mesures;stop_lon;stop_lat;point_geo;pollution_unifiee;pm10;pm25;no2;o3
IDFM:22057;Concorde;Métro 12;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.323181449571859;48.86615003482594;48.86615003482594, 2.323181449571859;pollution moyenne;;;;
IDFM:463152;Corentin Cariou;Métro 7;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.382291557164633;48.89467266005628;48.89467266005628, 2.382291557164633;pollution faible;;;;
IDFM:463165;Cour Saint-Emilion;Métro 14;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.386617850214058;48.83331930384343;48.833319303843425, 2.386617850214058;pollution faible;;;;
IDFM:463168;Daumesnil;Métro 8;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;;;;2.395573606140371;48.83967393140864;48.83967393140864, 2.395573606140371;pollution moyenne;;;;
IDFM:22200;Filles du Calvaire;Métro 8;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.366826859795412;48.86308830188695;48.86308830188695, 2.366826859795412;pollution faible;;;;
IDFM:22082;Franklin D. Roosevelt;Métro 1;Évaluation : mesures permanentes;non;;https://air-interieur.ratp.fr/;mesures permanentes;2.309359666519628;48.8691648256349;48.8691648256349, 2.309359666519628;pollution faible;;;;
IDFM:463184;Gaîté;Métro 13;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3223539967788067;48.83852608502253;48.83852608502253, 2.3223539967788067;pollution faible;;;;
IDFM:22173;Glacière;Métro 6;;non;;https://www.airparif.fr/;;2.3434974927179884;48.83117023524584;48.831170235245835, 2.3434974927179884;;;;;
IDFM:22197;Grands Boulevards;Métro 8;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.342839648636545;48.87146677844407;48.87146677844407, 2.342839648636545;pollution moyenne;;;;
IDFM:462952;Guy Môquet;Métro 13;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.327483258626126;48.8930014419616;48.8930014419616, 2.327483258626126;pollution faible;;;;
IDFM:22091;Hôtel de Ville;Métro 1;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3520676701391;48.85735240518587;48.85735240518587, 2.3520676701391;pollution faible;;;;
IDFM:22185;Invalides;Métro 13;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3146399951225347;48.86053445554123;48.86053445554123, 2.3146399951225347;pollution faible;;;;
IDFM:22118;Jaurès;Métro 2;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;2.370269867509251;48.88159683079925;48.88159683079925, 2.370269867509251;;;;;
IDFM:21995;Jourdain;Métro 11;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.389325378910096;48.875247348641416;48.875247348641416, 2.389325378910096;pollution faible;;;;
IDFM:22395;La Courneuve - 8 Mai 1945;Métro 7;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.4102214036405085;48.92024579662936;48.92024579662936, 2.4102214036405085;pollution moyenne;;;;
IDFM:22101;La Défense (Grande Arche);Métro 1;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.237988183098828;48.89181786646099;48.89181786646099, 2.2379881830988277;pollution faible;;;;
IDFM:490791;La Dhuys;Métro 11;Évaluation : impossible faute d’informations;non;;;;2.465116181953647;48.8780111916913;48.8780111916913, 2.465116181953647;;;;;
IDFM:463194;La Motte-Picquet - Grenelle;Métro 6;;non;;https://www.airparif.fr/;;2.298957096977008;48.84876544812232;48.848765448122315, 2.298957096977008;;;;;
IDFM:22146;Les Halles;Métro 4;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.34600573656331;48.86252665962869;48.86252665962869, 2.34600573656331;pollution faible;;;;
IDFM:463209;Liberté;Métro 8;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.406409459132366;48.82608032193611;48.82608032193611, 2.406409459132366;pollution moyenne;;;;
IDFM:22384;Louis Blanc;Métro 7;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3643562491890786;48.88124182075271;48.88124182075271, 2.3643562491890786;pollution moyenne;;;;
IDFM:22034;Louise Michel;Métro 3;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2882778490679767;48.88853900119613;48.88853900119613, 2.2882778490679767;pollution moyenne;;;;
IDFM:22187;Lourmel;Métro 8;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2822419598550767;48.83866086365992;48.83866086365992, 2.2822419598550767;pollution faible;;;;
IDFM:21973;Mabillon;Métro 10;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;;;;2.335142819346476;48.85284373829949;48.85284373829949, 2.335142819346476;pollution faible;;;;
IDFM:463081;Madeleine;Métro 12;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.325169929034193;48.87003294090397;48.87003294090397, 2.325169929034193;pollution faible;;;;
IDFM:21941;Mairie de Montreuil;Métro 9;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.4418193772459085;48.8622744369706;48.8622744369706, 2.4418193772459085;pollution moyenne;;;;
